"Personnel Number","Surname","First name","Initials","NI Number","Box Number","Benefit","Benefit title","Description","Made Good Gross","Made Good"
"DEF/456","Holroyd-Jacques","Jessica","","","13","1600","Assets transferred","Computer","0","0"
"987-G","Trevelyan","Dominic","","","13","1728","Assets transferred","cars","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","15","120","Payments made","Please enter description...","0","0"
"008","Willford","Ernest","","PS559944 ","15","1130","Payments made","fees","0","0"
"008","Willford","Ernest","","PS559944 ","15","620","Payments made","elec","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","15","175","Tax on notional payments","TAX","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","12","3000","Vouchers/Credit","vouchers","1000","1000"
"Y-5234","Holdsworth","Lindsay-Anne","","NB768696A","12","57","Vouchers/Credit","CREDIT CARD","70","70"
"Y-5234","Holdsworth","Lindsay-Anne","","NB768696A","14","2743","Accommodation","Please enter address","0","0"
"LL123","Hutchinson","John","","YH145986B","14","2743","Accommodation","Address 1","0","0"
"FG-135H","O?Hara","Hermione","","LM203045D","14","3335","Accommodation","ACCOM","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","12","743","Employee car","Car 1","0","0"
"008","Willford","Ernest","","PS559944 ","12","470","Employee car","CAR 1","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","9","9782","Company cars","Freelander","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","9","3283","Company cars","BMW","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","9","5458","Company cars","VAUXHALL","0","0"
"Y-5234","Holdsworth","Lindsay-Anne","","NB768696A","9","2166","Company cars","Vauxhall Astra","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","9","5545","Company cars","JAGUAR","0","0"
"LL123","Hutchinson","John","","YH145986B","9","3131","Company cars","Peugeot","500","500"
"FG-135H","O?Hara","Hermione","","LM203045D","9","0","Company cars","SMart","0","0"
"987-G","Trevelyan","Dominic","","","9","4835","Company cars","Mini","0","0"
"T321Q","Welsh","Gethin","R","","9","3291","Company cars","TOYOTA S","0","0"
"008","Willford","Ernest","","PS559944 ","9","1991","Company cars","HONDA","0","0"
"008","Willford","Ernest","","PS559944 ","9","841","Company cars","TOYOTA","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","10","6016","Car fuel","","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","10","2911","Car fuel","","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","10","5640","Car fuel","","0","0"
"Y-5234","Holdsworth","Lindsay-Anne","","NB768696A","10","3132","Car fuel","","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","10","3602","Car fuel","","0","0"
"LL123","Hutchinson","John","","YH145986B","10","3948","Car fuel","","0","0"
"FG-135H","O?Hara","Hermione","","LM203045D","10","0","Car fuel","","0","0"
"987-G","Trevelyan","Dominic","","","10","4513","Car fuel","","0","0"
"T321Q","Welsh","Gethin","R","","10","3020","Car fuel","","0","0"
"008","Willford","Ernest","","PS559944 ","10","2080","Car fuel","","0","0"
"008","Willford","Ernest","","PS559944 ","10","1582","Car fuel","","0","0"
